indicator,target,feature,lag_days,horizon_days,spearman_r,spearman_p,pearson_r,pearson_p,n_obs,q_spearman
xrp_price,xrp,xrp_price_dz,90,90,0.1831,3.001860238636323e-13,0.1549,7.375428862794792e-10,1563,0.0
xrp_price,xrp,xrp_price_ma30,90,90,-0.3752,1.0519330797325355e-55,-0.2159,1.1380515642113455e-18,1632,0.0
xrp_price,xrp,xrp_price_ma90,90,90,-0.3998,1.4937469465750217e-62,-0.2282,2.3104066958700986e-20,1602,0.0
xrp_price,xrp,xrp_price_mom21,90,90,0.1589,1.1941036280990132e-10,0.0535,0.030991375340004443,1625,0.0
xrp_price,xrp,xrp_price_yoy252,90,90,-0.1398,1.6055356875536245e-07,-0.1032,0.00011305302058464798,1394,0.0
xrp_price,xrp,xrp_price_zscore,90,90,0.0919,0.00025012138099409013,-0.0474,0.05935132263118328,1584,0.0005
xrp_price,xrp,xrp_price_dz,90,120,0.1288,4.2249638748346915e-07,0.0777,0.002339109635217063,1533,0.0
xrp_price,xrp,xrp_price_ma30,90,120,-0.4382,3.851996837857414e-76,-0.2509,2.034065693354695e-24,1602,0.0
xrp_price,xrp,xrp_price_ma90,90,120,-0.4742,6.366142032812397e-89,-0.2697,1.349127441493049e-27,1572,0.0
xrp_price,xrp,xrp_price_mom21,90,120,0.0625,0.012520878365954355,0.0032,0.897810721288065,1595,0.0221
xrp_price,xrp,xrp_price_yoy252,90,120,-0.2205,1.7761837244397023e-16,-0.1463,5.693527342255427e-08,1364,0.0
xrp_price,xrp,xrp_price_zscore,90,120,0.0083,0.7435824873638464,-0.128,4.110421430942382e-07,1554,0.8039
xrp_price,xrp,xrp_price_dz,120,1,0.001,0.9673988546145752,0.0256,0.30276575162064495,1622,0.9751
xrp_price,xrp,xrp_price_ma30,120,1,-0.043,0.07743387085884822,-0.0354,0.14537836039734786,1691,0.1205
xrp_price,xrp,xrp_price_ma90,120,1,-0.0442,0.07194305582041007,-0.0372,0.1292385761419651,1661,0.1133
xrp_price,xrp,xrp_price_mom21,120,1,-0.0038,0.8764225339727312,-0.0072,0.767349179404769,1684,0.9164
xrp_price,xrp,xrp_price_yoy252,120,1,-0.0085,0.74560997683393,-0.0164,0.5321323378637777,1453,0.8039
xrp_price,xrp,xrp_price_zscore,120,1,0.009,0.7168433698154468,0.0062,0.8022417896371896,1643,0.7888
xrp_price,xrp,xrp_price_dz,120,7,-0.0062,0.8018127602186045,0.0443,0.07473100681695839,1616,0.8562
xrp_price,xrp,xrp_price_ma30,120,7,-0.101,3.257342259992262e-05,-0.0933,0.00012479463247175147,1685,0.0001
xrp_price,xrp,xrp_price_ma90,120,7,-0.0904,0.00022941854342855184,-0.0988,5.6795462141163676e-05,1655,0.0005
